Time,Temperature,Salinity,Current Speed
2024-01-01T00:00:00.000000000,28.0031,35.4975,0.4835
2024-01-02T00:00:00.000000000,28.0011,35.4985,0.4835
2024-01-03T00:00:00.000000000,28.0017,35.4994,0.4835
2024-01-04T00:00:00.000000000,28.0016,35.4987,0.4835
2024-01-05T00:00:00.000000000,27.9981,35.5003,0.4835
2024-01-06T00:00:00.000000000,28.0029,35.5026,0.4835
2024-01-07T00:00:00.000000000,28.0087,35.4996,0.4835
2024-01-08T00:00:00.000000000,28.0039,35.5008,0.4835
2024-01-09T00:00:00.000000000,28.0034,35.502,0.4835
2024-01-10T00:00:00.000000000,28.0,35.501,0.4835
2024-01-11T00:00:00.000000000,27.9948,35.5009,0.4835
2024-01-12T00:00:00.000000000,27.9966,35.4988,0.4835
2024-01-13T00:00:00.000000000,28.0026,35.5001,0.4835
2024-01-14T00:00:00.000000000,27.9977,35.5006,0.4835
2024-01-15T00:00:00.000000000,28.0055,35.4994,0.4835
2024-01-16T00:00:00.000000000,28.0043,35.5023,0.4835
2024-01-17T00:00:00.000000000,27.9975,35.4996,0.4835
2024-01-18T00:00:00.000000000,27.9953,35.5015,0.4835
2024-01-19T00:00:00.000000000,28.003,35.4955,0.4835
2024-01-20T00:00:00.000000000,27.9965,35.5009,0.4835
2024-01-21T00:00:00.000000000,27.9965,35.505,0.4835
2024-01-22T00:00:00.000000000,27.9946,35.4981,0.4835
2024-01-23T00:00:00.000000000,27.9975,35.5,0.4835
2024-01-24T00:00:00.000000000,28.0014,35.5029,0.4835
2024-01-25T00:00:00.000000000,28.0035,35.4978,0.4835
2024-01-26T00:00:00.000000000,28.0059,35.5004,0.4835
2024-01-27T00:00:00.000000000,28.0,35.5003,0.4835
2024-01-28T00:00:00.000000000,28.0017,35.5013,0.4835
2024-01-29T00:00:00.000000000,28.0001,35.5047,0.4835
2024-01-30T00:00:00.000000000,28.003,35.5016,0.4835
